taxation,Replication.Number.of.Total.Responses,Ticks,Shame,Money,Sentiment,Company.Wins,Successful.Bets,Successful.Bets.Made
90.86382127,1,5001,1.07615582,1155844.91,-47956.69832,1207082.834,-64360,85420
,,,,,,,,
taxation.1,Replication.Number.of.Total.Responses.1,Ticks.1,Shame.1,Money.1,Sentiment.1,Company.Wins.1,Successful.Bets.1,Successful.Bets.Made.1
86.48827248,2,5001,0.7871298,2737351.515,-48228.64111,-32552.87844,-60909,80601
,,,,,,,,
taxation.2,Replication.Number.of.Total.Responses.2,Ticks.2,Shame.2,Money.2,Sentiment.2,Company.Wins.2,Successful.Bets.2,Successful.Bets.Made.2
92.67519048,3,5001,1.391650977,1048118.939,-41536.32524,1083623.421,-49999,65165
,,,,,,,,
taxation.3,Replication.Number.of.Total.Responses.3,Ticks.3,Shame.3,Money.3,Sentiment.3,Company.Wins.3,Successful.Bets.3,Successful.Bets.Made.3
92.97912875,4,5001,1.379136248,951213.8894,-41521.39951,521137.8536,-51515,68291
,,,,,,,,
taxation.4,Replication.Number.of.Total.Responses.4,Ticks.4,Shame.4,Money.4,Sentiment.4,Company.Wins.4,Successful.Bets.4,Successful.Bets.Made.4
90.16947033,5,5001,1.091013834,956457.3447,-29457.45408,442165.5673,-41295,54761
,,,,,,,,
taxation.5,Replication.Number.of.Total.Responses.5,Ticks.5,Shame.5,Money.5,Sentiment.5,Company.Wins.5,Successful.Bets.5,Successful.Bets.Made.5
89.63878409,6,5001,0.703888175,3706544.805,-51081.42182,-975355.0168,-68400,92380
,,,,,,,,
taxation.6,Replication.Number.of.Total.Responses.6,Ticks.6,Shame.6,Money.6,Sentiment.6,Company.Wins.6,Successful.Bets.6,Successful.Bets.Made.6
88.7388236,7,5001,0.969478923,4187467.67,-46823.92751,-1862740.468,-65453,88349
,,,,,,,,
taxation.7,Replication.Number.of.Total.Responses.7,Ticks.7,Shame.7,Money.7,Sentiment.7,Company.Wins.7,Successful.Bets.7,Successful.Bets.Made.7
97.32499658,8,5001,1.028583325,2232328.989,-38905.98975,213102.3463,-50797,67027
,,,,,,,,
taxation.8,Replication.Number.of.Total.Responses.8,Ticks.8,Shame.8,Money.8,Sentiment.8,Company.Wins.8,Successful.Bets.8,Successful.Bets.Made.8
80.62140081,9,5001,1.130817469,2381731.087,-38933.39728,-407121.0043,-57044,75602
,,,,,,,,
taxation.9,Replication.Number.of.Total.Responses.9,Ticks.9,Shame.9,Money.9,Sentiment.9,Company.Wins.9,Successful.Bets.9,Successful.Bets.Made.9
87.84874893,10,5001,1.277272701,1628577.27,-44246.91801,1038512.19,-56617,74159
