H14_sample,Replication.Number.of.Total.Responses,Ticks,Shame,Bankrupt,Money,Sentiment
0.024882088,1,15001,16.01733608,0,8984997.809,-348968.3921
0.32104138,2,15001,0.906435635,0,9763013.623,-369348.8571
0.104172931,3,15001,4.57419302,0,5014683.882,-383794.1608
0.116701943,4,15001,2.284284679,0,4965208.817,-316441.3962
0.225766272,5,15001,1.772297045,0,2947116.123,-319133.7331
0.379419008,6,15001,0.925011487,0,2398111.605,-353588.2286
1.188387554,7,15001,-0.078148118,0,2437335.965,-332076.5378
0.258911135,8,15001,1.454418806,0,5576452.249,-321308.0468
0.078479997,9,15001,6.373588756,0,2160364.16,-325845.3937
0.023164892,10,15001,16.77370141,0,2246995.69,-264226.5411
1.563992122,11,15001,-0.118949134,0,2945337.706,-318145.2249
0.324631912,12,15001,0.896525204,0,2183000.438,-355592.8661
0.533767517,13,15001,0.239150138,0,3652845.903,-323470.0927
0.139835806,14,15001,2.527427475,0,2750703.42,-277153.1755
0.322807732,15,15001,0.934525863,0,5359595.945,-311360.954
0.111919693,16,15001,2.953972217,0,7643087.547,-347484.644
0.059913004,17,15001,5.809634848,0,6671949.307,-300932.8344
1.020894971,18,15001,-0.016500321,0,4357236.465,-322400.4869
0.579083679,19,15001,0.503285007,0,4755215.691,-495126.4417
1.118741784,20,15001,-0.030552204,0,9503035.183,-386299.3672
